abholen забирать
ablehnen отклонять
absagen отменять
achten обращать внимание
ähnlich похожий
ändern изменять
anfangen начинать
ankommen прибывать
anmelden регистрировать
antworten отвечать
arbeiten работать
ärgern раздражать
aufgeben сдаваться
aufhören прекращать
aufpassen быть внимательным
aufräumen убирать
ausbilden обучать
ausdrücken выражать
ausreichen хватать
aussehen выглядеть
bedeuten означать
beginnen начинать
behalten сохранять
behandeln обращаться
bekommen получать
benutzen использовать
beraten советовать
bereiten готовить
berichten сообщать
beschreiben описывать
besitzen владеть
besprechen обсуждать
bestellen заказывать
besuchen посещать
bewegen двигать
bezahlen оплачивать
bieten предлагать
bilden образовывать
bleiben оставаться
brauchen нуждаться
danken благодарить
darstellen представлять
denken думать
dienen служить
diskutieren обсуждать
drucken печатать
einfallen приходить в голову
einladen приглашать
einrichten настраивать
entscheiden решать
entschuldigen извинять
entstehen возникать
entwickeln развивать
erfahren узнавать
erfinden изобретать
erhalten получать
erinnern напоминать
erkennen узнавать
erklären объяснять
erlauben разрешать
erleben переживать
erreichen достигать
erscheinen появляться
erwarten ожидать
erzählen рассказывать
fehlen отсутствовать
feiern праздновать
folgen следовать
fordern требовать
fördern поддерживать
fragen спрашивать
fühlen чувствовать
führen вести
gefallen нравиться
gehören принадлежать
gelingen удаваться
genießen наслаждаться
geschehen происходить
gewinnen выигрывать
gewöhnen привыкать
glauben верить
gründen основывать
handeln действовать
hoffen надеяться
informieren информировать
kämpfen бороться
kennen знать
klappen получаться
klingen звучать
kritisieren критиковать
kümmern заботиться
lächeln улыбаться
leiden страдать
leisten выполнять
leiten руководить
liefern доставлять
loben хвалить
lösen решать
meinen иметь в виду
merken замечать
mitbringen приносить
mitteilen сообщать
nachdenken размышлять
nennen называть
nutzen использовать
öffnen открывать
passen подходить
planen планировать
prüfen проверять
raten советовать
reagieren реагировать
rechnen считать
reden говорить
reichen хватать
reisen путешествовать
retten спасать
rufen звать
schaffen справляться
scheinen казаться
schicken отправлять
schließen закрывать
schützen защищать
senken снижать
sorgen заботиться
speichern сохранять
steigen подниматься
stimmen соответствовать
stören мешать
streiten спорить
suchen искать
teilen делить
teilnehmen участвовать
tragen нести
treffen встречать
überlegen обдумывать
übernehmen перенимать
überprüfen проверять
überraschen удивлять
überzeugen убеждать
umziehen переезжать
unterrichten преподавать
unterstützen поддерживать
untersuchen исследовать
verbessern улучшать
verbinden соединять
verdienen зарабатывать
vereinbaren договариваться
vergleichen сравнивать
verhindern предотвращать
verlieren терять
