ability способность
absence отсутствие
accept принимать
achieve достигать
active активный
actually на самом деле
advantage преимущество
advice совет
afford позволить
agree соглашаться
allow позволять
almost почти
amount количество
announce объявлять
appear появляться
apply применять
argue спорить
arrange организовывать
arrive прибывать
attend посещать
available доступный
avoid избегать
balance баланс
behaviour поведение
belong принадлежать
benefit польза
borrow занимать
brief краткий
calm спокойный
cancel отменять
career карьера
cause причина
certain определенный
challenge вызов
choice выбор
collect собирать
comfortable удобный
common общий
compare сравнивать
complete завершать
concern беспокойство
condition условие
connect соединять
consider рассматривать
contain содержать
continue продолжать
control контроль
correct правильный
cost стоимость
create создавать
culture культура
damage повреждение
decision решение
degree степень
delay задержка
deliver доставлять
demand требование
depend зависеть
describe описывать
design дизайн
detail деталь
develop развивать
difference различие
direct прямой
discover обнаруживать
discuss обсуждать
distance расстояние
divide разделять
education образование
effect эффект
effort усилие
either любой
employee сотрудник
encourage поощрять
energy энергия
environment окружающая среда
especially особенно
event событие
evidence доказательство
exact точный
except кроме
exist существовать
expect ожидать
experience опыт
explain объяснять
express выражать
fail терпеть неудачу
feature особенность
feedback обратная связь
finally наконец
focus фокус
foreign иностранный
forward вперед
general общий
goal цель
government правительство
growth рост
handle справляться
however однако
improve улучшать
include включать
increase увеличивать
instead вместо
introduce представлять
involve вовлекать
issue проблема
knowledge знание
language язык
likely вероятный
manage управлять
matter иметь значение
measure измерять
mention упоминать
method метод
mistake ошибка
notice замечать
offer предлагать
opinion мнение
opportunity возможность
organize организовывать
particular конкретный
perform выполнять
perhaps возможно
personal личный
policy политика
popular популярный
position позиция
possible возможный
practice практика
prepare готовить
prevent предотвращать
process процесс
produce производить
protect защищать
provide обеспечивать
purpose цель
quality качество
realize осознавать
receive получать
reduce уменьшать
refuse отказываться
region регион
relationship отношения
remain оставаться
remember помнить
repeat повторять
replace заменять
reply отвечать
require требовать
research исследование
